City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,shakawe,-18.3667,21.85,21.11,69,Clear,2.38,BW,1698724414
288,sitka,57.0531,-135.33,7.94,87,Clouds,1.54,US,1698682033
289,saudarkrokur,65.7461,-19.6394,-1.94,82,Clouds,4.26,IS,1698743212
290,huancavelica,-12.7667,-74.9833,5.7,70,Clouds,1.39,PE,1698661638
291,kroya,-7.6331,109.2461,30.61,60,Clouds,3.91,ID,1698704131
292,den burg,53.0542,4.7972,11.1,94,Rain,5.14,NL,1698734147
293,barcelos,41.5388,-8.6151,14.08,91,Clouds,1.9,PT,1698735865
294,nizhnyaya salda,58.0776,60.7202,-4.78,96,Snow,1.16,RU,1698721659
295,san antonio de pale,-1.4014,5.6325,26.32,84,Clouds,6.39,GQ,1698729372
296,cambria,35.5641,-121.0808,17.53,38,Clear,0.89,US,1698675843
297,bubaque,11.2833,-15.8333,28.24,73,Clouds,4.64,GW,1698735288
298,mathis,28.0945,-97.828,8.23,88,Clouds,5.44,US,1698669662
299,tomatlan,19.9333,-105.25,25.16,86,Clouds,1.13,MX,1698670879
300,gannan,47.9147,123.5031,1.57,67,Clouds,5.86,CN,1698704870
301,las toscas,-28.3529,-59.258,18.69,83,Clouds,3.73,AR,1698743135
302,margate,51.3813,1.3862,8.16,96,Clear,3.36,GB,1698734701
303,utrik,11.2278,169.8474,28.21,79,Clouds,7.97,MH,1698690714
304,makar'yev,57.8797,43.8069,-1.14,97,Snow,1.65,RU,1698725681
305,sovetskaya gavan',48.9723,140.2878,7.28,60,Clouds,2.5,RU,1698700978
306,nantucket,41.2835,-70.0995,11.19,91,Rain,8.75,US,1698664135
307,saint-mandrier-sur-mer,43.078,5.929,13.62,75,Clear,2.24,FR,1698732537
308,newman,37.3138,-121.0208,16.27,38,Clear,0.89,US,1698675984
309,bridlington,54.0831,-0.1919,10.01,87,Clouds,1.79,GB,1698735521
310,constantia,44.1833,28.65,11.5,83,Clear,3.35,RO,1698727203
311,bobrov,51.0961,40.0333,10.01,81,Clouds,5.4,RU,1698725371
312,bintulu,3.1667,113.0333,29.8,69,Rain,0.77,MY,1698703868
313,badagry,6.4167,2.8833,26.97,84,Clouds,2.45,NG,1698730500
314,msaken,35.7292,10.5808,23.7,78,Clouds,6.17,TN,1698730695
315,robit,12.0167,39.6333,16.87,72,Clear,1.45,ET,1698722019
316,villa mercedes,-33.6757,-65.4578,11.64,34,Clouds,6.49,AR,1698744166
317,taro,-8.3862,115.28,27.0,46,Clear,2.11,ID,1698702637
318,pingliang,35.5392,106.6861,17.47,47,Clear,0.63,CN,1698707598
319,mezhdurechenskiy,59.6,65.9333,-7.94,88,Clouds,2.08,RU,1698720753
320,buurhakaba,2.8026,44.0781,24.23,89,Clouds,2.1,SO,1698720396
321,itoman,26.1247,127.6694,28.21,65,Clouds,7.72,JP,1698701814
322,prince rupert,54.3161,-130.3201,6.83,80,Clear,2.57,CA,1698680317
323,mitu,1.1983,-70.1733,25.81,77,Clouds,0.55,CO,1698661322
324,praia da vitoria,38.7333,-27.0667,19.31,77,Clouds,7.14,PT,1698740015
325,jining,35.405,116.5814,26.56,33,Clear,6.94,CN,1698705210
326,tulcea,45.1667,28.8,11.1,94,Clouds,2.06,RO,1698727281
327,kutum,14.2,24.6667,22.93,31,Clouds,6.58,SD,1698725748
328,nuuk,64.1835,-51.7216,10.34,27,Clouds,10.29,GL,1698750357
329,todos santos,23.45,-110.2167,25.25,85,Clear,1.43,MX,1698672307
330,itaituba,-4.2761,-55.9836,23.92,88,Clouds,0.82,BR,1698743985
331,lorengau,-2.0226,147.2712,28.41,74,Clouds,4.23,PG,1698695343
332,kievka,50.2619,71.5514,3.12,81,Clouds,7.38,KZ,1698717674
333,sarmiento,-45.5882,-69.07,5.49,54,Clouds,5.88,AR,1698743729
334,seminole,28.7086,-81.2081,23.44,91,Clear,2.06,US,1698665717
335,bogale,16.2833,95.4,27.95,79,Clouds,4.46,MM,1698708899
336,ammon,43.4696,-111.9666,-0.72,69,Clear,0.0,US,1698674422
337,tinogasta,-28.0632,-67.5649,15.97,60,Clear,1.31,AR,1698745151
